Name Survived
"Fulvius Hortensius" No
"Laecanius Sextus" No
"Felix Marcellus" No
"Postumius Palpellius" No
"Hirrus Clodius" Yes
"Icilius Opellius" No
"Minicius Atilius" No
"Drusus Rufinus" No
"Porcius Aquillius" Yes
"Balbus Castorius" Yes
"Julius Urbanus" Yes
"Rullianus Considius" Yes
"Cocceius Varian" Yes
"Paternus Cicereius" Yes
"Sicinius Publicius" No
"Menenius Cantilius" No
"Fulvius Justus" No
"Gracchus Anatolius" Yes
"Statilius Pasidienus" Yes
"Drusus Sulpicius" Yes
"Caninius Damasus" No
"Maximus Decimus" Yes
"Munatius Oppius" No
"Cordius Furius" Yes
"Pontidius Marcius" Yes
"Maecilius Sulpicius" No
"Quintilianus Ravillius" Yes
"Laberius Florianus" No
"Hordeonius Memmius" Yes
"Gracchus Latinius" No
"Saturninus Pacilius" No
"Quinctilius Appius" No
"Sabucius Caninius" Yes
"Urbicus Castorius" Yes
"Laelius Laelius" No
"Statilius Opimius" No
"Gordian Betilienus" No
"Considius Opimius" No
"Celsus Drusus" No
"Pius Egnatuleius" No
"Segulius Nautius" No
"Silanus Sallustius" Yes
"Fidius Petilius" No
"Flavius Zeno" No
"Modius Anatolius" Yes
"Gabinius Damasus" Yes
"Stertinius Suetonius" Yes
"Matinius Gratian" No
"Numonius Foslius" No
"Gabinius Hostilius" Yes
"Lamponius Valentinian" No
"Sabucius Pupius" Yes
"Sergian Amulius" No
"Paconius Cloelius" Yes
"Cassio Genucius" Yes
"Numicius Sabucius" No
"Pupius Calpurnius" No
"Stertinius Gallus" No
"Murena Camillius" Yes
"Iulius Claudius" Yes
"Lucretius Pius" Yes
"Cordius Oppius" Yes
"Genucius Octavenus" No
"Sextus Livius" Yes
"Ofilius Maxentius" Yes
"Vibius Scribonius" No
"Cosconius Seccius" Yes
"Decimus Matienus" No
"Fabianus Aemilius" Yes
"Terentius Sextius" Yes
"Potitius Ninnius" No
"Lacerius Aemilius" No
"Petilius Cyprian" No
"Quinctilius Probus" No
"Belisarius Ogulnius" Yes
"Valens Pontidius" No
"Lartius Drusus" Yes
"Bonifacius Pettius" Yes
"Sextius Donatus" Yes
"Furius Hordeonius" Yes
"Lucanus Gracchus" Yes
"Perperna Vitus" Yes
"Novellius Matienus" Yes
"Naevius Domitius" Yes
"Maximian Ingenuus" Yes
"Probus Coruncanius" Yes
"Servilius Plautius" Yes
"Seccius Domitian" Yes
"Vitus Junius" Yes
"Honorius Nautius" No
"Laelius Celsus" Yes
"Marian Decimus" No
"Salvius Genucius" Yes
"Silanus Papinius" Yes
"Festinius Hortensius" No
"Cispius Fidius" Yes
"Plinius Novellius" No
"Musonius Gabinius" No
"Valerius Servius" Yes
"Afranius Pompeius" No
"Lamponius Iuventius" No
"Fannius Nonius" No
"Castorius Pius" No
"Albinius Gordian" No
"Cassius Geminius" Yes
"Cicero Camillus" Yes
"Cyprian Duronius" No
"Junius Maxentius" No
"Camillius Ostorius" Yes
"Nerva Fannius" No
"Fulcinia Verecundus" No
"Severus Pilus" Yes
"Gabinius Primitivus" No
"Fannius Livius" Yes
"Numitorius Sestius" Yes
"Sulpicius Gordian" No
"Urbanus Hostilius" No
"Acilius Tiberius" Yes
"Livius Zeno" No
"Galerius Secundinius" No
"Sergius Rebilus" No
"Cordius Betilienus" Yes
"Fulvius Aquillius" Yes
"Laberius Cassius" No
"Blossius Ingenuus" Yes
"Cornutus Cato" Yes
"Primitivus Decimus" No
"Januarius Titus" Yes
"Egnatius Furius" Yes
"Cethegus Sallustius" No
"Rutilius Crispus" Yes
"Iuventius Domitius" Yes
"Geminius Balbinus" No
"Cornificius Marius" No
"Nigidius Fulcinia" No
"Tarquinius Pilus" No
"Mucius Priscus" Yes
"Stertinius Silanus" Yes
"Bruttius Decimus" No
"Magnentius Petreius" No
"Albinius Catilius" Yes
"Sentius Spurius" Yes
"Gallus Rutilius" No
"Nasennius Sempronius" No
"Castorius Manius" Yes
"Catius Paternus" Yes
"Juvenalis Draco" Yes
"Messalla Maecenas" No
"Scribonius Duronius" No
"Betilienus Hilarianus" Yes
"Semellius Drusus" Yes
"Betilienus Salvius" No
"Coruncanius Regulus" No
"Paconius Caecilius" No
"Severus Maximus" No
"Dacian Cornutus" No
"Marian Egnatius" Yes
"Hirrus Cyprian" No
"Lucius Laurentius" No
"Cordius Sestius" No
"Quintus Fidius" No
"Messalla Rufius" Yes
"Scribonius Lacerius" No
"Urbicus Plautius" No
"Segulius Sempronius" Yes
"Brennus Vitalis" Yes
"Caelius Zeno" No
"Duronius Egnatuleius" No
"Crispinus Anatolius" No
"Musonius Stertinius" Yes
"Perperna Camillius" No
"Servilius Vitus" No
"Iuventius Sicinius" Yes
"Papinius Maximian" Yes
"Hordeonius Fundanus" Yes
"Aelius Gabinius" No
"Paelignus Cordius" No
"Quinctilius Rufinus" Yes
"Gabinius Aulus" No
"Sepullius Tarquinius" Yes
"Fulvius Genucius" No
"Mucius Nasennius" No
"Severus Cicero" Yes
"Varian Albinius" Yes
"Pasidienus Numerius" No
"Primitivus Domitian" No
"Donatus Caesennius" No
"Quintilianus Fulvius" Yes
"Fabianus Maximian" Yes
"Pacilius Tiberius" Yes
"Baebius Ennius" Yes
"Eutropius Probus" No
"Fulvius Sextus" Yes
"Caninius Quintus" Yes
"Julius Volumnius" Yes
"Hilarianus Nasidienus" Yes
"Damasus Hadrian" No
"Betilienus Lartius" No
"Atilius Marcellus" No
"Ovidius Orbilius" Yes
"Belisarius Burrienus" Yes
"Iulius Matinius" No
"Didius Zeno" Yes
"Varian Salvian" Yes
"Vitalis Numonius" No
"Florianus Lamponius" Yes
"Galerius Faustus" Yes
"Foslius Pettius" Yes
"Varian Hilarianus" Yes
"Sergian Gordian" No
"Valens Nautius" Yes
"Statilius Decimus" Yes
"Lentulus Tiberius" No
"Percennius Salvidienus" Yes
"Quinctilius Menenius" Yes
"Postumius Rufrius" Yes
"Sextus Marcus" Yes
"Sextius Sedatius" Yes
"Laetorius Opellius" No
"Caninius Cinna" Yes
"Placidus Regulus" Yes
"Florianus Gracchus" Yes
"Cocceius Flavius" No
"Coruncanius Opellius" Yes
"Pasidienus Curtius" No
"Rufinus Numitorius" No
"Tarquinius Atilius" Yes
"Fundanus Fannius" No
"Iuventius Cestius" No
"Gaius Caecilius" Yes
"Aelius Aulus" No
"Nero Ogulnius" No
"Granius Camillus" No
"Laetorius Laberius" No
"Galerius Varian" No
"Juvenalis Tertius" Yes
"Lacerius Matienus" Yes
"Cosconius Juvenalis" No
"Blaesus Vitus" No
"Caelian Decimus" No
"Avidius Cispius" No
"Balbinus Honorius" Yes
"Vespasian Seccius" Yes
"Claudius Amulius" Yes
"Nasidius Ovidius" Yes
"Primitivus Numerius" No
"Nasidius Amulius" Yes
"Laronius Clodius" Yes
"Probus Julius" Yes
"Atilius Sabucius" Yes
"Placidus Aquillius" Yes
"Gallus Sextius" No
"Numonius Nero" No
"Nonius Camillus" Yes
"Sestius Clodius" No
"Cloelius Festus" Yes
"Varian Didius" No
"Iunius Cominius" No
"Placidus Fabrinius" Yes
"Ingenuus Pasidienus" Yes
"Caelius Diocletian" Yes
"Naevius Cestius" Yes
"Ingenuus Honorius" No
"Potitius Manilius" No
"Ofilius Longinius" Yes
"Castorius Matienus" Yes
"Laronius Cincinnatus" Yes
"Ovidius Galerius" Yes
"Valerius Menenius" No
"Vitus Tertius" No
"Gnaeus Marius" No
"Maecilius Gabinius" No
"Fabianus Nasennius" Yes
"Laelius Maximian" Yes
"Sextius Marcius" Yes
"Cyprian Avidius" Yes
"Justus Pius" Yes
"Varro Ogulnius" No
"Vitalis Festinius" Yes
"Orbilius Pomponius" Yes
"Valentinian Faustus" No
"Granius Scribonius" Yes
"Postumius Cominius" Yes
"Laurentius Cassianus" No
"Valentinian Eutropius" No
"Varro Saturninus" Yes
"Sidonius Pius" Yes
"Pomponius Caedicius" No
"Horatius Ostorius" Yes
"Herennius Sestius" No
"Sentius Semellius" Yes
"Cantilius Galerius" Yes
"Domitian Scribonius" Yes
"Sicinius Salvius" Yes
"Pacilius Clodius" Yes
"Pinarus Cloelius" No
"Numerius Caninius" Yes
"Rufius Orchius" Yes
"Sallustius Caesennius" Yes
"Laurentius Nasidienus" Yes
"Genucius Pasidienus" Yes
"Lucretius Catius" Yes
"Hirrus Rufius" No
"Scribonius Crispus" No
"Vespasian Germanicus" No
"Pius Hirrus" Yes
"Sextius Publicius" Yes
"Nautius Atilius" No
"Primitivus Segulius" Yes
"Cominius Marcellus" No
"Baebius Lucanus" Yes
"Valerius Tertius" No
"Decentius Ovidius" No
"Juvenalis Cinna" No
"Valentinian Saturninus" No
"Laelius Aemilius" No
"Caninius Gallus" Yes
"Aemilius Maecilius" No
"Brennus Dacian" No
"Quintilianus Felix" Yes
"Gratian Rebilus" Yes
"Segulius Pompeius" Yes
"Sergius Musonius" Yes
"Gracchus Fabianus" No
"Acilius Papirius" No
"Vibius Julius" No
"Rabirius Appius" Yes
"Drusus Orestius" Yes
"Fulvius Nigidius" Yes
"Lollius Marius" Yes
"Octavius Acilius" No
"Opimius Orbilius" No
"Junius Fulcinia" Yes
"Ovidius Cincinnatus" Yes
"Ninnius Mallius" No
"Caelius Varro" Yes
"Servilius Spurius" No
"Festus Secundinius" Yes
"Galerius Servius" Yes
"Duronius Urbanus" Yes
"Suetonius Nonius" Yes
"Caecilius Ovidius" Yes
"Urbanus Fundanus" Yes
"Cilnius Spurius" No
"Ovidius Tarquinius" No
"Pontidius Percennius" No
"Albinus Castorius" No
"Lucretius Tertius" Yes
"Drusus Terentius" No
"Paconius Petilius" No
"Stertinius Sittius" No
"Rufrius Maecenas" Yes
"Murena Cocceius" Yes
"Granius Silanus" Yes
"Severian Potitius" No
"Ovidius Tertius" Yes
"Blasius Orchius" Yes
"Varro Scribonius" Yes
"Persius Tiberius" No
"Vitalis Fidenas" No
"Naevius Caecilius" Yes
"Opellius Nonius" Yes
"Salinator Aulus" Yes
"Pilus Germanicus" Yes
"Anatolius Blossius" No
"Potitius Salvidienus" No
"Dacian Ravillius" Yes
"Caelian Munatius" Yes
"Varian Constantinus" Yes
"Publicius Genucius" Yes
"Betilienus Amulius" Yes
"Felix Salvius" Yes
"Plautius Valens" No
"Cincinnatus Festus" No
"Fabrinius Catilius" No
"Egnatuleius Munatius" Yes
"Balbus Iulius" No
"Poppaedius Ninnius" No
"Numerius Fidenas" Yes
"Crispus Castorius" No
"Pilus Ofilius" Yes
"Titus Balbus" Yes
"Sabucius Lamponius" Yes
"Modius Servius" Yes
"Terentius Priscus" Yes
"Laberius Juvenalis" No
"Orchius Quintilianus" Yes
"Domitian Ennius" No
"Tiberius Sertorius" No
"Caesennius Calventius" No
"Florian Crispinus" Yes
"Belisarius Balbus" Yes
"Servilius Paconius" Yes
"Pupius Servilius" Yes
"Fundanus Verecundus" No
"Curtius Albinus" Yes
"Iuventius Matinius" No
"Longinius Nasidienus" No
"Tiberius Orestius" Yes
"Honorius Ollius" Yes
"Longinius Gracchus" Yes
"Pacilius Burrienus" No
"Modius Mucius" No
"Caelian Salvidienus" No
"Flavius Poppaedius" Yes
"Valerius Balbinus" No
"Fidenas Saturninus" No
"Maximus Postumius" Yes
"Murena Iunius" Yes
"Statilius Hadrian" No
"Amulius Florianus" No
"Zeno Seneca" Yes
"Rabirius Opimius" No
"Honorius Hilarianus" No
"Stertinius Cassius" Yes
"Nero Pilus" Yes
"Gaius Crispinus" Yes
"Gallus Catilius" Yes
"Pilus Marcus" Yes
"Orchius Poppaedius" Yes
"Constantinus Castorius" No
"Ingenuus Mallius" No
"Cornificius Cilnius" No
"Caesennius Sentius" No
"Clodius Scribonius" No
"Januarius Lartius" No
"Memmius Avidius" Yes
"Candidus Cispius" No
"Quirinius Paternus" No
"Egnatuleius Numonius" No
"Paconius Rufrius" Yes
"Opimius Pupius" No
"Matinius Laurentius" Yes
"Titus Egnatius" Yes
"Volumnius Iulius" No
"Quintus Paternus" No
"Lacerius Crispinus" Yes
"Marian Laecanius" No
"Livius Sicinius" Yes
"Donatus Verecundus" Yes
"Paelignus Poppaedius" No
"Celsus Cassio" No
"Palpellius Egnatius" Yes
"Caedicius Novellius" Yes
"Ostorius Ovidius" No
"Cominius Maxentius" Yes
"Galerius Scribonius" No
"Percennius Postumius" No
"Clodius Albinus" Yes
"Rutilius Burrienus" No
"Magnentius Genucius" Yes
"Sallustius Hortensius" No
"Considius Gratian" No
"Aulus Titus" Yes
"Gracchus Cato" No
"Lucanus Cocceius" No
"Paconius Constantinus" No
"Maecenas Servilius" No
"Sergian Quintus" No
"Camillius Mallius" No
"Lucanus Sedatius" No
"Quirinius Fidius" No
"Primitivus Longinius" No
"Pius Verus" Yes
"Martialis Marcus" Yes
"Pinarus Germanicus" No
"Foslius Aquillius" Yes
"Longinius Camillus" Yes
"Caninius Laecanius" Yes
"Blasius Martialis" No
"Galerius Laurentius" Yes
"Paconius Opellius" No
"Sulpicius Sepullius" No
"Pontidius Sornatius" Yes
"Severus Gabinius" No
"Burrienus Marcellus" No
"Cilnius Sulpicius" Yes
"Gaius Gabinius" Yes
"Caedicius Flavius" Yes
"Festinius Maximus" Yes
"Domitian Eborius" No
"Dacian Lucius" No
"Verus Brennus" No
"Valens Caninius" No
"Silius Marius" No
"Lartius Plinius" No
"Maecenas Ravillius" No
"Caelian Bonifacius" No
"Minicius Egnatuleius" No
"Cordius Tarquinius" Yes
"Vitus Orbilius" Yes
"Hilarianus Mallius" Yes
"Bonifacius Pilus" No
"Blasius Aulus" No
"Rufinus Cosconius" No
"Cassius Matinius" No
"Minicius Mescinius" No
"Martialis Aemilius" Yes
"Curtius Murena" Yes
"Cornutus Opellius" No
"Urbanus Hilarianus" No
"Caninius Laurentius" No
"Cloelius Aquillius" Yes
"Horatius Cethegus" No
"Ovidius Primitivus" Yes
"Iuventius Pupius" No
"Duronius Gabinius" Yes
"Numitorius Sidonius" Yes
"Valentinian Bruttius" Yes
"Verus Damasus" No
"Diocletian Fabrinius" Yes
"Lollius Vibius" No
"Nasidius Gallus" Yes
"Spurius Cicero" Yes
"Afranius Aelius" No
"Aurelianus Mallius" Yes
"Sedatius Plautius" No
"Gaius Pontidius" Yes
"Fidenas Belisarius" Yes
"Julius Tiberius" No
"Flaccus Sergius" No
"Dacian Pedius" No
"Servius Salinator" No
"Urbicus Palpellius" No
"Galerius Stertinius" No
"Cornificius Cornelius" No
"Potitius Memmius" Yes
"Didius Stertinius" Yes
"Lucius Caninius" Yes
"Iunius Laecanius" Yes
"Regulus Publicius" Yes
"Severus Vitus" No
"Salvius Orestius" No
"Suetonius Iulius" Yes
"Blaesus Valerius" Yes
"Maximian Donatus" No
"Decimus Valentinian" Yes
"Norbanus Vitus" No
"Lartius Duronius" No
"Verus Matinius" Yes
"Sergian Junius" Yes
"Amulius Fabius" No
"Seccius Cassius" No
"Cicereius Coruncanius" Yes
"Maecilius Hadrian" Yes
"Gaius Fabianus" Yes
"Coruncanius Terentius" Yes
"Honorius Marcellus" No
"Mescinius Statilius" Yes
"Pontidius Papinius" No
"Palpellius Magnentius" Yes
"Januarius Betilienus" No
"Maximus Nasidienus" Yes
"Fannius Baebius" No
"Betilienus Bonifacius" Yes
"Blossius Severian" Yes
"Orchius Catilius" Yes
"Laetorius Cornutus" Yes
"Longinius Numonius" No
"Lamponius Octavius" Yes
"Rabirius Hortensius" Yes
"Valerius Lucretius" Yes
"Caninius Iuventius" No
"Orchius Burrienus" No
"Calventius Manilius" Yes
"Menenius Messalla" No
"Vespasian Aulus" Yes
"Hostius Ennius" No
"Silanus Silius" No
"Diocletian Clodius" Yes
"Oppius Numerius" No
"Cominius Poppaedius" No
"Acilius Caedicius" Yes
"Vitalis Betilienus" No
"Marcellus Furius" No
"Fulvius Iuventius" No
"Opimius Oppius" Yes
"Latinius Secundus" No
"Pacilius Maximus" No
"Mallius Rufius" No
"Sallustius Cornutus" Yes
"Domitian Ingenuus" No
"Iulius Probus" No
"Sornatius Hortensius" Yes
"Sornatius Papinius" No
"Gratian Secundinius" Yes
"Laurentius Rufinus" No
"Palpellius Curtius" Yes
"Iuventius Junius" Yes
"Fulcinia Martialis" No
"Appius Laecanius" Yes
"Sittius Blaesus" No
"Blasius Salvidienus" No
"Rufrius Pinarus" Yes
"Afranius Cornelius" Yes
"Sestius Paelignus" No
"Iunius Marius" Yes
"Pius Verecundus" No
"Nazarius Sallustius" Yes
"Afranius Maecenas" No
"Petilius Rebilus" Yes
"Sedatius Mallius" Yes
"Hostilius Sergius" No
"Livius Tertius" No
"Numicius Cicereius" No
"Ostorius Sidonius" No
"Palpellius Livius" No
"Atilius Seneca" No
"Marcellus Martialis" Yes
"Florian Florian" Yes
"Sergian Galerius" Yes
"Cicero Vincentius" Yes
"Rufinus Verus" No
"Perperna Marcellus" Yes
"Sepullius Cosconius" Yes
"Decentius Rutilius" Yes
"Sergian Marcus" No
"Fulcinia Coruncanius" No
"Manius Pinarus" Yes
"Latinius Afranius" Yes
"Sestius Caedicius" No
"Caesennius Sidonius" Yes
"Vespasian Granius" No
"Calpurnius Magnentius" No
"Florianus Decimus" Yes
"Mallius Nasennius" No
"Curtius Secundus" Yes
"Pedius Nerva" Yes
"Donatus Poppaedius" Yes
"Seccius Manilius" Yes
"Primitivus Maecenas" No
"Paulinus Considius" Yes
"Duronius Avidius" Yes
"Nonius Tarquinius" Yes
"Urbicus Messalla" No
"Papirius Lucius" Yes
"Sepullius Calventius" No
"Rufius Cassio" Yes
"Gallus Seccius" Yes
"Priscus Modius" Yes
"Nero Cilnius" No
"Hortensius Numitorius" Yes
"Rebilus Seccius" No
"Catius Semellius" Yes
"Pedius Petreius" No
"Marcus Marius" Yes
"Silanus Numicius" Yes
"Gracchus Blossius" No
"Matienus Naevius" No
"Potitius Novellius" Yes
"Licinius Verecundus" No
"Ostorius Fabius" Yes
"Cornificius Rufrius" Yes
"Granius Nero" Yes
"Seccius Iunius" No
"Cinna Aulus" Yes
"Fabius Draco" Yes
"Segulius Rabirius" No
"Quinctilius Juvenalis" No
"Sestius Iunius" Yes
"Titus Hordeonius" No
"Egnatuleius Salvian" No
"Naevius Ravillius" Yes
"Cantilius Cocceius" No
"Faustus Laronius" Yes
"Valens Ovidius" No
"Caedicius Cantilius" Yes
"Festus Pettius" No
"Dacian Pacilius" No
"Petreius Percennius" Yes
"Vitus Rabirius" No
"Volumnius Acilius" No
"Quintilianus Curtius" Yes
"Acilius Decentius" No
"Numonius Crispus" Yes
"Octavenus Potitius" Yes
"Manilius Marcellus" Yes
"Hordeonius Seneca" No
"Severus Messalla" Yes
"Varro Cornelius" Yes
"Lamponius Pius" No
"Furius Fulcinia" No
"Statilius Horatius" No
"Curtius Modius" Yes
"Aulus Gnaeus" No
"Germanicus Vincentius" Yes
"Verecundus Didius" Yes
"Acilius Hirrus" Yes
"Fundanus Cocceius" Yes
"Secundinius Maximus" Yes
"Segulius Iuventius" Yes
"Memmius Fidenas" Yes
"Flavius Vitalis" Yes
"Paelignus Horatius" No
"Bonifacius Zeno" No
"Laecanius Palpellius" No
"Fidius Nazarius" Yes
"Memmius Sicinius" No
"Catilius Granius" No
"Sestius Numerius" No
"Verecundus Matienus" Yes
"Mamilius Juvenalis" Yes
"Minicius Petreius" No
"Dacian Blaesus" Yes
"Granius Rabirius" Yes
"Longinius Segulius" Yes
"Camillius Segulius" Yes
"Messalla Sestius" No
"Geminius Cato" No
"Rabirius Marcius" No
"Caedicius Cispius" No
"Cocceius Candidus" No
"Gordian Silius" No
"Marius Spurius" No
"Tertius Numonius" No
"Novellius Domitius" Yes
"Mamilius Galerius" Yes
"Salvian Bonifacius" Yes
"Tacitus Sabucius" No
"Nigidius Calpurnius" No
"Plautius Fundanus" Yes
"Naevius Zeno" Yes
"Cilnius Quinctilius" No
"Ravillius Belisarius" Yes
"Mescinius Caesennius" Yes
"Candidus Scribonius" Yes
"Caesennius Geta" No
"Musonius Fulvius" No
"Fabianus Messalla" Yes
"Domitius Regulus" No
"Messalla Fidenas" Yes
"Rebilus Paternus" Yes
"Cocceius Plautius" No
"Sempronius Gordian" No
"Balbinus Fabianus" Yes
"Varro Saturninus" No
"Severus Burrienus" Yes
"Januarius Maximian" Yes
"Cincinnatus Considius" No
"Sertorius Marian" Yes
"Pomponius Ingenuus" Yes
"Furius Munatius" No
"Novellius Percennius" Yes
"Mamilius Duronius" No
"Petreius Orbilius" No
"Egnatuleius Considius" Yes
"Gaius Orestius" Yes
"Caesennius Hostilius" Yes
"Lucretius Papirius" Yes
"Fabius Balbinus" No
"Cincinnatus Dacian" Yes
"Baebius Laurentius" No
"Numonius Orestius" Yes
"Modius Sornatius" Yes
"Salvidienus Rebilus" No
"Draco Latinius" Yes
"Quintilianus Pontidius" No
"Modius Semellius" No
"Quintilianus Sepullius" Yes
"Florianus Petilius" Yes
"Servius Poppaedius" No
"Antonius Vespasian" Yes
"Sepullius Justus" Yes
"Publicius Gratian" Yes
"Orchius Varian" Yes
"Germanicus Ravillius" Yes
"Cocceius Fulcinia" No
"Decimus Blasius" No
"Juvenalis Camillius" Yes
"Aelius Festinius" Yes
"Mescinius Octavius" Yes
"Sidonius Rullianus" Yes
"Martialis Aurelianus" No
"Cispius Bonifacius" Yes
"Lucius Petreius" No
"Regulus Valerius" No
"Scribonius Orbilius" Yes
"Cloelius Fabrinius" No
"Balbinus Pontidius" Yes
"Tacitus Marcellus" No
"Celsus Hadrian" Yes
"Avidius Numitorius" Yes
"Dacian Pompeius" Yes
"Silvius Ovidius" No
"Stertinius Numonius" Yes
"Hordeonius Sergius" No
"Nasennius Salvidienus" Yes
"Nerva Diocletian" Yes
"Fidenas Claudius" No
"Severian Publius" No
"Laelius Paelignus" Yes
"Nerva Hirrus" No
"Cilnius Petreius" Yes
"Gordian Constantinus" Yes
"Felix Fidenas" No
"Ovidius Salvidienus" No
"Donatus Orbilius" Yes
"Papinius Cato" Yes
"Publicius Donatus" Yes
"Laetorius Novellius" Yes
"Bonifacius Decimus" No
"Matinius Aulus" No
"Manilius Avidius" Yes
"Sittius Scribonius" Yes
"Sextus Silanus" No
"Sornatius Palpellius" Yes
"Lartius Sertorius" No
"Verecundus Maximian" No
"Draco Plinius" Yes
"Felix Draco" No
"Persius Poppaedius" Yes
"Urbanus Gracchus" No
"Ravillius Pomponius" Yes
"Camillus Bruttius" Yes
"Laronius Donatus" Yes
"Gratian Brennus" No
"Papirius Lacerius" No
"Primitivus Publicius" Yes
"Nasidienus Cosconius" No
"Laetorius Vitus" No
"Sempronius Lacerius" Yes
"Pacilius Fidenas" Yes
"Fabrinius Valens" No
"Ninnius Cispius" Yes
"Geta Percennius" No
"Verus Cornelius" Yes
"Honorius Januarius" Yes
"Probus Gratian" Yes
"Cincinnatus Rebilus" No
"Laronius Ingenuus" Yes
"Fannius Cincinnatus" Yes
"Blossius Hadrian" No
"Celsus Plinius" No
"Verecundus Cincinnatus" Yes
"Sidonius Domitius" Yes
"Sestius Placidus" Yes
"Gaius Curtius" No
"Sestius Quirinius" Yes
"Balbinus Stertinius" Yes
"Icilius Paulinus" Yes
"Mamilius Felix" No
"Cethegus Ogulnius" No
"Cassius Decimus" No
"Galerius Gabinius" No
"Vitus Placidus" No
"Papinius Orchius" No
"Candidus Cestius" No
"Icilius Fulvius" Yes
"Martialis Rebilus" No
"Menenius Orchius" Yes
"Silius Fidius" Yes
"Vibius Candidus" No
"Crispinus Antonius" No
"Tiberius Clodius" Yes
"Postumius Perperna" No
"Ofilius Matienus" Yes
"Magnentius Sestius" No
"Matinius Lucanus" No
"Claudius Cocceius" No
"Gabinius Norbanus" Yes
"Verecundus Ogulnius" Yes
"Aemilius Pupius" No
"Octavenus Cornificius" Yes
"Martialis Rullianus" Yes
"Domitian Aelius" Yes
"Livius Pasidienus" No
"Papirius Crispus" No
"Aulus Caedicius" Yes
"Pompeius Octavius" Yes
"Papinius Caelian" Yes
"Minicius Iulius" No
"Pettius Volumnius" Yes
"Sepullius Mallius" Yes
"Oppius Ovidius" No
"Festus Servilius" No
"Ingenuus Damasus" Yes
"Sidonius Belisarius" Yes
"Papinius Pius" No
"Cassianus Zeno" Yes
"Publius Varian" Yes
"Ogulnius Murena" No
"Regulus Terentius" Yes
"Manius Murena" Yes
"Fulvius Aulus" Yes
"Priscus Fabianus" Yes
"Martialis Ofilius" No
"Juvenalis Poppaedius" No
"Gaius Orbilius" No
"Secundinius Silanus" No
"Lamponius Aemilius" No
"Novellius Sallustius" No
"Camillus Sertorius" Yes
"Gordian Petilius" Yes
"Silanus Quinctilius" No
"Pilus Caedicius" Yes
"Sempronius Eutropius" No
"Cincinnatus Lucretius" Yes
"Sergian Severian" No
"Semellius Sallustius" Yes
"Plautius Pomponius" Yes
"Seccius Sertorius" No
"Martialis Blossius" No
"Tacitus Decentius" Yes
"Secundus Fulcinia" No
"Gracchus Orchius" Yes
"Pompeius Sextius" Yes
"Camillius Betilienus" No
"Ennius Magnentius" No
"Statilius Cispius" No
"Hirrus Paelignus" Yes
"Sergius Caninius" Yes
"Rullianus Poppaedius" No
"Paelignus Festinius" No
"Magnentius Egnatius" Yes
"Cestius Poppaedius" Yes
"Ostorius Maecenas" Yes
"Crispinus Mamilius" Yes
"Cestius Nasidienus" Yes
"Urbicus Ovidius" Yes
"Lentulus Cispius" Yes
"Modius Paulinus" Yes
"Draco Domitius" No
"Palpellius Mucius" Yes
"Severian Oppius" No
"Caesennius Pettius" No
"Salvian Menenius" No
"Hirrus Valentinian" Yes
"Justus Faustus" No
"Ogulnius Postumius" No
"Rutilius Cinna" Yes
"Cordius Magnentius" Yes
"Sextius Castorius" Yes
"Cethegus Sertorius" Yes
"Varian Murena" Yes
"Domitian Vincentius" No
"Honorius Numonius" No
"Memmius Atilius" No
"Hadrian Lamponius" No
"Quintus Musonius" Yes
"Maecenas Mescinius" Yes
"Herennius Murena" Yes
"Cyprian Numerius" Yes
"Fabianus Lacerius" Yes
"Cocceius Hirrus" No
"Martialis Domitius" No
"Messalla Numerius" Yes
"Aemilius Livius" Yes
"Ollius Gnaeus" No
"Servius Gnaeus" Yes
"Camillius Sempronius" No
"Quinctilius Ostorius" Yes
"Perperna Januarius" Yes
"Fulcinia Numitorius" No
"Nerva Maecenas" No
"Paulinus Flaccus" Yes
"Papirius Sextius" Yes
"Sidonius Crispinus" Yes
"Gaius Betilienus" No
"Galerius Horatius" No
"Nonius Cornelius" No
"Avidius Vespasian" Yes
"Terentius Claudius" Yes
"Festus Cassio" Yes
"Seneca Papinius" No
"Silvius Suetonius" No
"Donatus Lucanus" Yes
"Nasidienus Seccius" Yes
"Flavius Sornatius" Yes
"Justus Coruncanius" No
"Modius Salinator" Yes
"Eutropius Ofilius" Yes
"Aurelianus Zeno" No
"Flavius Nonius" Yes
"Cornelius Egnatius" No
"Cornificius Palpellius" Yes
"Nasidienus Paelignus" No
"Seneca Calventius" Yes
"Octavenus Fabrinius" No
"Maxentius Laetorius" Yes
"Nigidius Sempronius" Yes
"Publicius Manilius" No
"Paulinus Urbanus" Yes
"Drusus Placidus" Yes
"Paulinus Marcus" Yes
"Plinius Vincentius" Yes
"Iuventius Candidus" Yes
"Volumnius Petilius" Yes
"Munatius Modius" Yes
"Volumnius Memmius" Yes
"Matinius Pomponius" No
"Spurius Caelian" No
"Pacilius Rufius" No
"Stertinius Persius" No
"Orbilius Seneca" No
"Cincinnatus Primitivus" No
"Volumnius Gracchus" No
"Hadrian Lollius" Yes
"Didius Granius" No
"Acilius Hortensius" No
"Gracchus Justus" Yes
"Ovidius Lollius" No
"Furius Sittius" Yes
"Petreius Pettius" No
"Marius Calventius" Yes
"Fulvius Sextius" No
"Messalla Hortensius" No
"Gordian Pinarus" No
"Verecundus Mamilius" Yes
